Presenter Name,Institution
Heiko Karle,ETH Zurich
Simon Martin,University of Vienna
Patrick Gaule,CERGE-EI
Thomas Fackler,University of Munich
Gaetan de Rassenfosse,Ecole polytechnique federale de Lausanne
Christian Helmers,Santa Clara University
Christoph Winter,University of Zurich
Stephen Burgess,Bank of England
Nikolay Hristov,ifo Institute for Economic Research
Fiorella De Fiore,European Central Bank
Tomaz Cajner,Federal Reserve Board
Martin Micheli,RWI
Elizabeth Steiner,Swiss National Bank
Andre Kurmann,Drexel University
Tobias Schuler,University of Rome Tor Vergata
Corinne Dubois,EPFL
Rossana Merola,ILO International Labour Office
Ansgar Rannenberg,Central Bank of Ireland
Giuseppe Berlingieri,"ESSEC, OECD, CEP"
Leif Danziger,Ben-Gurion University
Peter Neary,University of Oxford
Catarina Marvao,Stockholm School of Economics
Michel Roland,Université Laval
Gabrielle Demange,Paris School of Economics
Markus Dertwinkel-Kalt,University of Cologne
Michal Burzynski,Universite catholique de Louvain
Laura Renner,University of Freiburg
Janine Hart,University of Potsdam
Alicia Adsera,Princeton University
Francois de Soyres,Toulouse School of Economics
Christian Proebsting,University of Michigan
Christoph Kaufmann,University of Cologne
Ozge Senay,University of St Andrews
Piotr Denderski,VU University Amsterdam
Irina Merkurieva,University of St Andrews
Marianna Kudlyak,Federal Reserve Bank of Richmond
Jens Eisenschmidt,European Central Bank
Etsuro Shioji,Hitotsubashi University
Boris Hofmann,Bank for International Settlements
Michael Koetter,Frankfurt School of Finance and Management and IWH
Seungwon (Eugene) Jeong,University of Bristol
Marion Ott,RWTH Aachen University
Xin Zhang,Sveriges Riksbank
Rafael Gerke,Deutsche Bundesbank
Co-Pierre Georg,Deutsche Bundesbank and University of Cape Town
Christoffer Koch,Federal Reserve Bank of Dallas
Ozgur Evren,New Economic School
Mayumi Horie,Hiroshima University of Economics
Christopher Tyson,Queen Mary University of London
Thomas Epper,University of St. Gallen
Santiago Moreno,University of Zurich
Martin Dumav,Universidad Carlos III de Madrid
Francesc Dilme,University of Bonn
Julien Hugonnier,EPFL
Emiliano Pagnotta,Imperial College Business School
Jakub Rojcek,University of Zurich
DANDAN Wang,Cardiff University
Paul Rilstone,York University
Firmin Doko Tchatoka,University of Adelaide
Mario Philipp Rothfelder,Tilburg University
Aaron Hedlund,University of Missouri
Wenli Li,Federal Reserve Bank of Philadelphia
Marcin Kolasa,Narodowy Bank Polski
Rafael Repullo,CEMFI
Francis Bloch,Universite Paris I
Camille Terrier,"Paris School of Economics, CEP (London School of Economics)"
Julien Combe,Paris School of Economics
Marie Bessec,"Université Paris Dauphine, PSL Research University, LEDa"
Jeremias Bekierman,University of Cologne
Cleiton Taufemback,
Michael McCracken,Federal Reserve Bank of St. Louis
Valerio Dotti,University College London
Aline Buetikofer,Norwegian School of Economics
Mariola Pytlikova,CERGE-EI and VSB Ostrava
Giovanni Facchini,University of Nottingham
Florian ielpo,
Fabio Trojani,University of Geneva and Swiss Finance I
Mehmet Caner,Ohio State University
Denis Pelletier,North Carolina State University
Barbara Sadaba,Erasmus University - Tinbergen Institute
Hao Fang,University of Amsterdam
Richard Luger,Laval University
Eric Jondeau,Swiss Finance Institute and University of Lausanne
Jules Tinang,Toulouse School of Economics
Hogyu Jhang,Georgia Institute of Technology
fatih altunok,Central Bank of Turkey
Marcelo Ochoa,Federal Reserve Board of Governors
Falk Mazelis,European Central Bank
Swetlana Kreiser,Friedrich-Alexander University Nuremberg
Maria Sablina,University of Munich
Till Stowasser,University of Munich
Wladislaw Mill,Friedrich-Schiller-Universität Jena
Sarah Brown,University of Sheffield
Stefan Buehler,University of St. Gallen
Juliane Zenker,University of Goettingen
Christophe Muller,Aix-Marseille University
Thilo Klein,OECD
Lore Vandewalle,Graduate Institute of International and Development Studies
Giorgia Barboni,"Visiting Scholar, Harvard Kennedy School"
Veronique Gille,Paris 1 University
Oskar Skans,Uppsala University
Anna Busse,University of Heidelberg
Dennis Rickert,DICE; University of Düsseldorf
Marleen Marra,University College London
Roxana Fernandez,Tilburg University
Roberto Iacono,Norwegian University of Science and Technology
Mark Andor,Rhine-Westphalia Institute for Economic Research (RWI)
Chiara Ravetti,University of Oxford
Martin Olsson,Research Institute of Industrial Economics (IFN)
Ana Tur-Prats,Universitat Pompeu Fabra
Carla Soares,Banco de Portugal
Albert Queralto,Federal Reserve Board
Tom Meling,University of Bergen
Lerby Ergun,LSE
Giannina Vaccaro,University of Geneva
Peter Backus,University of Manchester
Jana Cahlikova,Max Planck Institute for Tax Law and Public Finance
Stefanie Huber,Universitat Pompeu Fabra / Barcelona GSE / European Central Bank (DG-Research)
David Byrne,Central Bank of Ireland
John Muellbauer,"Nuffield College, University of Oxford"
Lien Laureys,Bank of England
Francesca Carapella,Federal Reserve Board
Roc Armenter,Federal Reserve Bank of Philadelphia
Christian Friedrich,Bank of Canada
Piergiorgio Alessandri,Banca d'Italia
Francesca Loria,European University Institute
Raghul Venkatesh,Aix-Marseille Universite - School of Economics
Alois Stutzer,University of Basel
Haomin Wang,Paris School of Economics
Kilian Niedermayer,Institute for Employment Research (IAB)
Rita Ginja,Uppsala University
Jonathan Shaw,Institute for Fiscal Studies
Jan Sebastian Nimczik,University of Mannheim
Vivian Carstensen,Bielefeld University ASC ; Leibniz University Hannover
Lukas Mergele,Humboldt University of Berlin
Murat Tasci,Federal Reserve Bank of Cleveland
Ralph Luetticke,University of Bonn
Lien Pham-Dao,Deutsche Bundesbank
Philipp Hergovich,University of Vienna
Ethan Ilzetzki,London School of Economics
Laura Mayoral,Institut d'Anàlisi Econòmica
Sara Lazzaroni,University of Bologna
Andriy Zapechelnyuk,University of Glasgow
David Kelsey,University of Exeter
Nick Saponara,Boston University
Youzhi Yang,Shanghai University of Finance and Economics
Marta Troya-Martinez,New Economic School
Leslie Marx,Fuqua School of Business
Özlem Bedre-Defolie,European School of Management and Technology
Shengyu Li,Durham University
Ayse Pehlivan,Bilkent University
Pierre Dubois,Toulouse School of Economics
Alejandro Vicondoa,EUI
Daniele Siena,Banque de France
Carlos Madeira,Central Bank of Chile
James Costain,Bank of Spain
Yunus Emre Ergemen,"CREATES, Aarhus University"
Martin Wagner,Technical University Dortmund
Carlos Velasco,Universidad Carlos III de Madrid
Michel Serafinelli,University of Toronto
Manasa Patnam,ENSAE
Bruno Decreuse,Aix-Marseille University
Xiaodong Fan,University of New South Wales
Jeanne Hagenbach,CNRS -- Ecole Poytechnique
Martin Gregor,"Charles University, Prague"
Ines Moreno de Barreda,Oxford University
Cavit Pakel,Bilkent University
Lars Stentoft,University of Western Ontario
Monica Billio,Università di Venezia
Ija Trapeznikova,"Royal Holloway, University of London"
Andrii Parkhomenko,"Universitat Autonoma de Barcelona, Barcelona GSE"
Alberto Holly,University of Lausanne
Fabrizio Zilibotti,University of Zurich
Mark Watson,Princeton University
Arif Oduncu,Central Bank of the Republic of Turkey
Lukas Vacha,"UTIA, Czech Academy of Sciences"
Victoria Nuguer,Banco de México
Chad Syverson,"University of Chicago, Booth School of Business"
Michelle Sovinsky,University of Mannheim
Frank Verboven,University of Leuven
Philippe Aghion,College de France and London School of Economics
Eliana La Ferrara,"Bocconi University, Milan"
Torsten Persson,"International Economic Studies, Stockholm University"
Mirko Wiederholt,Goethe University Frankfurt
Jennifer La'O,Columbia University
Venky Venkateswaran,New York University
Jesse Schreger,Harvard Business School
Guillaume Plantin,Sciences Po
Luigi Bocola,Northwestern University
Roland Benabou,Princeton University
Leeat Yariv,California Institute of Technology
Rafaella Giacomini,
Janet Currie,Princeton
Simon Haenni,University of Lausanne
Hannah Schildberg-Hoerisch,University of Bonn
niall o'higgins,university of salerno
Alex Krumer,University of St. Gallen
Sergey Popov,Queen's U Belfast
Guo Xu,London School of Economics
Maria Berlin,Stockholm School of Economics
Katja Neugebauer,London School of Economics
Philipp Schaz,Humboldt Universität zu Berlin
Lucy Qian Liu,IMF
Gwenael Roudaut,Ecole Polytechnique
Andreas Barth,Goethe University Frankfurt
Boris Nikolov,University of Lausanne
Rahul Mukherjee,Graduate Institute
Robin Stitzing,Nokia Technologies
Sebastian Rausch,ETH Zurich
Thomas Stoerk,Universitat Pompeu Fabra
Emiliya Lazarova,University of East Anglia
Sarah Demeulemeester,KULeuven
Michel Koenig,University of Zurich
Sadao Nagaoka,Tokyo Keizai University
David Dorn,University of Zurich
Linda Tesar,University of Michigan
Anna Gibert Rivas,German Institute for Economic Research (DIW Berlin)
Luisa Lambertini,EPFL
Nikolai Gräber,University of Muenster
Stefan Legge,University of St. Gallen
Matt Delventhal,UAB and Barcelona GSE
Emircan Yurdagul,Universidad Carlos III de Madrid
Nicolas Fugger,University of Cologne
Joao Montez,London Business School
Shuo Liu,University of Zurich
Marcio Garcia,PUC-Rio
Filippo Natoli,Bank of Italy
Malin Gardberg,Erasmus University Rotterdam
Laurie Reijnders,University of Groningen
Michael Rose,University of Cape Town
Fabrice Kampfen,University of Lausanne
Sang Yoon (Tim) Lee,University of Mannheim
Tobias Mueller,University of Geneva
Michele Battisti,University of Munich
Christian Ochsner,Ifo Institute for Economic Research
Simona Grassi,"HEC, University of Lausanne, Lausanne"
Christian Speck,
Sebastian Rueth,University of Wuerzburg
Norbert Metiu,Deutsche Bundesbank
Richhild Moessner,BIS
Tomasz Sulka,The University of Edinburgh
Jonathan Goupille-Lebret,Paris School of Economics
Matthias Giesecke,RWI Essen
Christian Moser,Princeton University
Andreas Ek,LSE
Simone Moriconi,Università Cattolica di Milano
Sugata Ghosh,Brunel University
Jan Witajewski-Baltvilks,Institute for Structural Research
Banu Demir,Bilkent University
Francesco Bripi,Bank of Italy
Zuzana Irsova,Charles University in Prague
Robert Zymek,University of Edinburgh
Andrei Sirchenko,Higher School of Economics
Gunda-Alexandra Detmers,Freie Universität Berlin
Marco Fongoni,University of Strathclyde
Domenico Tabasso,University of Geneva
Matthias Strifler,University of Jyväskylä
Raicho Bojilov,Ecole Polytechnique - CREST
Roberto Casarin,University Ca' Foscari of Venice
Rémi Piatek,University of Copenhagen
Davide Pettenuzzo,Brandeis Univeristy
Herman van Dijk,Erasmus University Rotterdam
Malin Arve,NHH Norwegian School of Economics
Mikhail Drugov,"New Economic School, Moscow"
Johannes Schneider,Universidad Carlos III de Madrid
Martin Pollrich,Humboldt University Berlin
Galina Besstremyannaya,Center for Economic and Financial Research at New Economic School
Ignacio Munyo,University of Montevideo
Bram De Rock,Université Libre de Bruxelles
Michael Bauer,Federal Reserve Bank of San Francisco
João Victor Issler,Getulio Vargas Foundation
Daniele Bianchi,University of Warwick
Christoph Siemroth,University of Mannheim
Rosen Valchev,Boston College
Cyril Monnet,Universitat Bern
Fabrice Collard,University of Bern
Matteo Cacciatore,HEC Montreal
Nora Traum,North Carolina State University
Justin-Damien Guenette,Bank of Canada
sean telg,maastricht university
Hans Manner,University of Cologne
Robert Lieli,Central European University
Ricardo Serrano-Padial,Drexel University
Linda Schilling,"University of Bonn, University of Utrecht"
Taejin Kim,The Chinese University of Hong Kong
Daniel Quigley,University of Oxford
Kurt Mitman,Stockholm University
Amir Kermani,UC Berkeley
Volker Grossmann,University of Fribourg
Cigdem Gizem Korpeoglu,University College London
Sihong Zhang,University of Mannheim
Mengling Li,Xiamen University
Bo Hu,VU Amsterdam
Antonio Romero-Medina,Universidad Carlos III de Madrid
Jean-Paul RENNE,HEC Lausanne
Luca Fanelli,University of Bologna
Anna Staszewska-Bystrova,University of Lodz
Semyon Malamud,Ecole Polytechnique Federale de Lausanne
Shengxing Zhang,London School of Economics
Niccolo Lomys,University of Mannheim
Guy Tchuente,University of Kent
Andrii Babii,Toulouse School of Economics
Ulrike Schneider,Vienna University of Technology
Senay Sokullu,University of Bristol
Alexander Tarasov,Higher School of Economics
Yoto Yotov,Drexel University
Paolo Bertoletti,Universit� di Pavia
Yonghceol Shin,university of york
Lisa Bruttel,
Mette Damgaard,Aarhus University
Paulo Santos Monteiro,University of York
Bansi Malde,Institute for Fiscal Studies
Cédric Wasser,University of Bonn
Stefan Wolter,University of Berne
Johannes Kunz,University of Zurich
Katharina Werner,"Ifo Institute, Munich"
Martin Geiger,University of Innsbruck
Sebastian Link,University of Munich
Serena Canaan,"University of California, Santa Barbara"
Adrian Chadi,"IAAEU, University of Trier"
Christopher Rauh,University of Cambridge
Matilde Machado,Universidad Carlos III
Julie Pernaudet,CREST
Ragnhild Camilla Schreiner,The Frisch Centre/University of Oslo
Winfried Koeniger,University of St.Gallen
Ricardo Dias de Oliveira Brito,Insper Institute
Eva Van Belle,Ghent University
Oeystein Hernaes,The Ragnar Frisch Centre for Economic Research
Mario Bossler,Institute for Employment Research
Davud Rostam-Afschar,Universitaet Hohenheim
Stefanie Seele,Humboldt-Universität zu Berlin
Michael Ungeheuer,University of Mannheim
Alasdair Brown,University of East Anglia
Jung Hur,Sogang University
Jakob Schwab,Johannes-Gutenberg-University Mainz
Fredrik Heyman,IFN
Harun Nasir,University of Reading
rafal raciborski,EU Commission
Leo Krippner,Reserve Bank of New Zealand
Brice Fabre,Paris School of Economics and Aix-Marseille School of Economics
Baochun Peng,The Hong Kong Polytechnic University
Markus Knell,Oesterreichische Nationalbank
SAI DING,"Economics, Adam Smith Business School"
Andre Trindade,Getulio Vargas Foundation
Chiara Canta,Norwegian School of Economics
Tetsushi Murao,Kyushu University
Karol Mazur,European University Institute
Andreas Westermark,Sveriges Riksbank
Ricardo Vicente,Tallinn University of Technology
Xavier Mateos-Planas,Queen Mary University of London
Alain de Crombrugghe,University of Namur
Isabel Martinez,University of St. Gallen
Marcus Roller,University of Basel
Markus Hersche,ETH Zurich
Roland Hodler,University of St.Gallen
Marion Mercier,Université Catholique de Louvain
Bjoern Brey,University of Konstanz
Andreas Kettemann,University of Zürich
Mario Meier,University of Mannheim
Binzhen Wu,Tsinghua University
Pascal St-Amour,University of Lausanne
Barbara Biasi,Stanford University
Luis Puch,Universitat Autonoma de Barcelona y Universidad Complutense
Thibault Libert,Paris School of Economics
Robert Kurtzman,Federal Reserve Board
Cheng Wang,Fudan University
Nuh Aygun Dalkiran,Bilkent University
Ting Liu,Stony Brook University
Thomas Noe,University of Oxford
Anna Kormilitsina,Southern Methodist University
Alain Monfort,CREST
Andrea Ferrero,University of Oxford
Evi Pappa,European University Institute
David Baqaee,London School of Economics and Political Science
Tom Schmitz,Università Bocconi
Geraldine Dany,Halle Institute for Economic Research
Didier Nibbering,Erasmus University Rotterdam
Pierre Guerin,Bank of Canada
Sekyu Choi,University of Bristol
Bastian Schulz,University of Munich and Ifo Institute
Konstantin Sonin,University of Chicago
Anirban Mitra,University of Oslo
Edoardo Grillo,Collegio Carlo Alberto
Alexander Glas,Heidelberg University
Yara Cordeiro,Banco Itaú Unibanco
Andrea Tamoni,London School of Economics
Xiaolu Zhao,Lancaster University
Serge Luther NYAWA WOMO,Toulouse School of Economics
George-Marios Angeletos,M.I.T.
Timo Hoffmann,University of Erlangen-Nuremberg
Felix Kölle,University of Cologne
Menusch Khadjavi,Christian-Albrechts-University Kiel
Dagmara Celik Katreniak,CERGE-EI
Salvatore Di Falco,University of Geneva
Jesper Rudiger,University of Copenhagen
Stefanie Schmitt,University of Bamberg
Koen Declercq,University of Leuven
Natascha Wagner,Erasmus University Rotterdam
Lucas Fuhrer,
Kyoung Sun Park,Incheon Development Institute & Copenhagen Business School
Julian Thimme,Goethe University Frankfurt
Mateusz Mysliwski,University College London
Petyo Bonev,Ecole des Mines
Andras Niedermayer,University of Mannheim
Manuel Grieder,ETH Zurich
Jana Friedrichsen,Humboldt-Universität zu Berlin
Katrin Schmelz,Konstanz University
Gregory Ponthiere,Paris School of Economics
Nicolas Salamanca,University of Melbourne
Yining Geng,Universitat Pompeu Fabra and Barcelona GSE
Kevin Lampaert,Ghent University
Iman Honarvar,Maastricht University
Christoph Roling,Deutsche Bundesbank
Reyn Van Ewijk,University of Mainz
Alexander Paul,Aarhus University
Anastasia Aladysheva,Stockholm International Peace Research Institute (SIPRI)
Giulio Bosio,University of Bergamo
Malka Guillot,CREST
Ariell Reshef,"Centre d'Economie de la Sorbonne, and Paris School of Economics"
Christian A. Stoltenberg,University of Amsterdam
Jeremy Boccanfuso,Paris school of Economics
Jasmin Gröschl,Ifo Institute for Economic Research
Gry Ostenstad,University College of South East Norway
Erwin Winkler,University of Wuerzburg
Diogo Britto,Catholic University - Milan
Kamil Galuscak,Czech National Bank
Tuan Nguyen,University of Geneva
Michael Siegenthaler,ETH Zurich
Nadzeya Laurentsyeva,University of Munich
Yulin Liu,ETH Zurich
Lorant Kaszab,European Central Bank
Juha Tuomala,VATT
Stefan Etgeton,DIW Berlin
Andrea Weber,Vienna University of Economics and Busin
Janis Berzins,BI Norwegian Business School
Dominik Schober,ZEW Mannheim
Vincent Dekker,University of Hohenheim
Bent Sorensen,University of Houston
Philipp Jäger,RWI
Radoslawa Nikolowa,Queen Mary University of London
Tymofiy Mylovanov,University of Pittsburgh
Cristine Pinto,São Paulo School of Economics - EESP/FGV
Daniel Gutknecht,University of Mannheim
Juan Block,University of Cambridge
Bary Pradelski,ETH Zurich
Jake Zhao,Stony Brook University
Marco Bonomo,Insper Institute of Education and Research
Saleem Bahaj,Bank of England
Seung Hyun Hong,"University of Illinois, Urbana-Champaign"
Cristina Gualdani,UCL
Lorenzo Magnolfi,Yale University
Cagri Kumru,Australian National University
Kozo Ueda,Waseda University
Matthias Meier,Bonn University
Mehdi Hamidi Sahneh,Carlos III University
Jose Montiel Olea,New York University
Hajo Holzmann,Marburg University
Hong Il Yoo,Durham University
Claudio Morana,Università di Milano Bicocca
Chu-An Liu,Academia Sinica
Kazuhiko Hayakawa,Hiroshima University
Tue Gorgens,The Australian National University
Leandro De Magalhaes,University of Bristol
Alvaro Garcia Marin,Universidad de Chile
Hernan Moscoso Boedo,University of Cincinnati
Nirvikar Singh,UC Santa Cruz
Daniel Maas,University of Wuerzburg
Javier Fernandez-Blanco,Universitat Autonoma de Barcelona and Barcelona GSE
Guido Friebel,Goethe-Universität
Imran Rasul,University College London
Itay Saporta,Tel Aviv University
Mathieu Couttenier,HEC Lausanne
Eli Berman,"University of California, San Diego"
Oeindrila Dube,New York University
Emmanuel Farhi,Harvard University
Anton Korinek,Johns Hopkins University
Neil Mehrotra,Brown University
Carl-Johan Dalgaard Dalgaard,University of Copenhagen
James Kung,Division of Social Science
Ola Olsson,University of Gothenburg
Marina Halac,Columbia University and Warwick University
Thomas Mariotti,Toulouse School of Economics
Refet Gurkaynak,
Fabio Canova,BI Norwegian  business school
